id,label_lb,description_lb,class_id,class_label_lb,ner_tag
Q747,Pierre Corneille,franséischen Theaterschrëftsteller,Q5,Mënsch,PER
Q755,Paul Verlaine,franséischen Auteur,Q5,Mënsch,PER
Q765,Dario Fo,italieeneschen Auteur a Schauspiller,Q5,Mënsch,PER
Q767,Stéphane Mallarmé,franséische Schrëftsteller,Q5,Mënsch,PER
Q838,Andrei Rubljow,russeschen (moskoviteschen) Ikonemoler,Q5,Mënsch,PER
Q859,Platon,antiken griichesche Philosoph,Q5,Mënsch,PER
Q868,Aristoteles,griichesche Philosoph,Q5,Mënsch,PER
Q873,Meryl Streep,US-amerikanesch Schauspillerin,Q5,Mënsch,PER
Q882,Charlie Chaplin,"brittesche Filmschauspiller, Komponist a Regisseur (1889–1977)",Q5,Mënsch,PER
Q892,J. R. R. Tolkien,englesche Schrëftsteller a Philolog,Q5,Mënsch,PER
Q905,Franz Kafka,tschechesch-éisträichesche Schrëftsteller,Q5,Mënsch,PER
Q913,Sokrates,griichesche Philosoph,Q5,Mënsch,PER
Q926,Roald Amundsen,norwegesche Polarfuerscher,Q5,Mënsch,PER
Q927,Harry Mulisch,hollännesche Schrëftsteller,Q5,Mënsch,PER
Q935,Isaac Newton,englesche Physiker an Mathematiker,Q5,Mënsch,PER
Q946,Donald Tusk,polnesche Politiker,Q5,Mënsch,PER
Q989,Jean-Paul II.,264. Poopst vun der kathoulescher Kierch,Q5,Mënsch,PER
Q991,Fjodor Michailowitsch Dostojewski,russesche Schrëftsteller,Q5,Mënsch,PER
Q997,Andrei Dmitrijewitsch Sacharow,sowjetesche Physiker an Nobelpräisdréier,Q5,Mënsch,PER
Q1001,Mohandas Karamchand Gandhi,Indeschen Politiker a Mënscherechtskämpfer,Q5,Mënsch,PER
Q1043,Carl von Linné,schweedeschen Naturfuerscher,Q5,Mënsch,PER
Q1047,Jawaharlal Nehru,indesche Politiker a Premierminister vun Indien 1947-1964,Q5,Mënsch,PER
Q1048,Gaius Iulius Caesar,"rémeschen Staatsmann, Feldhär an Auteur",Q5,Mënsch,PER
Q1058,Narendra Modi,indesche Politiker,Q5,Mënsch,PER
Q1124,Bill Clinton,amerikanesche Politiker,Q5,Mënsch,PER
Q1149,Indira Gandhi,indesch Politikerin,Q5,Mënsch,PER
Q1151,Hector Berlioz,franséische Komponist,Q5,Mënsch,PER
Q1178,Maurice Ravel,franséische Komponist,Q5,Mënsch,PER
Q1189,Usain Bolt,jamaikanesche Sprinter,Q5,Mënsch,PER
Q1203,John Lennon,"brittesche Museker, Komponist an Auteur",Q5,Mënsch,PER
Q1220,Giorgio Napolitano,italieenesche Politiker,Q5,Mënsch,PER
Q1224,Carlo Azeglio Ciampi,italieenesche Politiker,Q5,Mënsch,PER
Q1228,Oscar Luigi Scalfaro,italieenesche Politiker a Magistrat,Q5,Mënsch,PER
Q1230,Francesco Cossiga,italieenesche Politiker,Q5,Mënsch,PER
Q1254,Kofi Annan,ghanaeschen Diplomat a Politiker,Q5,Mënsch,PER
Q1257,Boutros Boutros-Ghali,egyptesche Politiker an UN-Generalsekretär,Q5,Mënsch,PER
Q1259,Javier Pérez de Cuéllar,peruaneschen Diplomat a Politiker,Q5,Mënsch,PER
Q1260,Kurt Waldheim,éisträicheschen Diplomat a Politiker,Q5,Mënsch,PER
Q1267,Dag Hammarskjöld,schweedesche Politiker,Q5,Mënsch,PER
Q1268,Frédéric Chopin,franséisch-polnesche Pianist a Komponist,Q5,Mënsch,PER
Q1276,Leonard Cohen,"kanadesche Sänger, Dichter a Schrëftsteller",Q5,Mënsch,PER
Q1290,Blaise Pascal,franséische Philosoph an Naturwëssenschaftler,Q5,Mënsch,PER
Q1316,Saddam Hussein,Irakesche Politiker a Krichsverbriecher,Q5,Mënsch,PER
Q1317,Osama Bin Laden,sauditeschen Terrorist an de Grënner vun der Al-Qaida,Q5,Mënsch,PER
Q1325,Friedrich Hayek,anglo-éisträicheschen Ekonomist a Sozialphilosoph,Q5,Mënsch,PER
Q1339,Johann Sebastian Bach,däitsche Komponist,Q5,Mënsch,PER
Q1340,Antonio Vivaldi,"italieenesche Paschtouer, Violonist a Komponist",Q5,Mënsch,PER
Q1394,Wladimir Iljitsch Lenin,russesche Revolutionär a Politiker,Q5,Mënsch,PER
Q1398,Publius Vergilius Maro,laténgeschen Dichter an Epiker,Q5,Mënsch,PER
Q1405,Augustus,éischte réimesche Keeser,Q5,Mënsch,PER
Q1411,Claudius,véierte réimesche Keeser,Q5,Mënsch,PER
Q1425,Trajan,réimesche Keeser,Q5,Mënsch,PER
Q1426,Roger Federer,Schwäizer Tennisspiller,Q5,Mënsch,PER
Q1427,Hadrian,réimesche Keeser,Q5,Mënsch,PER
Q1464,Benigno Aquino III.,philippinnesche Politiker,Q5,Mënsch,PER
Q1470,M. C. Escher,hollännesche Kënschtler a Grafiker,Q5,Mënsch,PER
Q1480,Corazón Aquino,philippinnesch Politikerin,Q5,Mënsch,PER
Q1488,Robert Brasillach,franséische Schrëftsteller,Q5,Mënsch,PER
Q1511,Richard Wagner,"däitsche Komponist, Dramatiker an Dirigent",Q5,Mënsch,PER
Q1512,Robert Louis Stevenson,schottesche Schrëftsteller,Q5,Mënsch,PER
Q1514,Janis Joplin,amerikanesch Sängerin,Q5,Mënsch,PER
Q1541,Marcus Tullius Cicero,"réimeschen Affekot, Politiker, Riedner, Auteur a Philosoph",Q5,Mënsch,PER
Q1544,Tony Garnier,franséischen Architekt,Q5,Mënsch,PER
Q1585,Georg Simon Ohm,däitsche Physiker,Q5,Mënsch,PER
Q1615,Neil Armstrong,US-amerikaneschen Testpilot an Astronaut,Q5,Mënsch,PER
Q1631,Édith Piaf,franséisch Sängerin,Q5,Mënsch,PER
Q1666,Jacques Brel,"belsche Schauspiller, Regisseur a Sänger",Q5,Mënsch,PER
Q1698,Serge Gainsbourg,franséische Sänger (1928–1991),Q5,Mënsch,PER
Q1716,Renaud,franséische Liddermécher,Q5,Mënsch,PER
Q1744,Madonna,US-amerikanesch Sängerin,Q5,Mënsch,PER
Q1768,Ella Fitzgerald,US-amerikanesch Sängerin,Q5,Mënsch,PER
Q1779,Louis Armstrong,US-amerikanesche Museker a Sänger,Q5,Mënsch,PER
Q1785,Charles Aznavour,franséische Sänger,Q5,Mënsch,PER
Q1802,Daniel Balavoine,franséische Sänger,Q5,Mënsch,PER
Q1911,Olivier Giroud,franséische Foussballspiller,Q5,Mënsch,PER
Q1922,Anthony Réveillère,italieenesche Foussballspiller,Q5,Mënsch,PER
Q1993,Masashi Kishimoto,japanesche Mangaka,Q5,Mënsch,PER
Q2001,Stanley Kubrick,US-amerikanesche Filmregisseur,Q5,Mënsch,PER
Q2031,Marc Girardelli,lëtzebuergesch-éisträichesche Schileefer,Q5,Mënsch,PER
Q2038,François Mitterrand,franséische Politiker,Q5,Mënsch,PER
Q2039,Titus Livius,réimeschen Historiker,Q5,Mënsch,PER
Q2042,Charles de Gaulle,"franséische Generol, Staatsmann an President vun der franséischer Republik",Q5,Mënsch,PER
Q2071,David Lynch,"US-amerikanesche Filmregisseur, Museker, Dréibuchauteur",Q5,Mënsch,PER
Q2105,Jacques Chirac,franséische Politiker,Q5,Mënsch,PER
Q2124,Valéry Giscard d'Estaing,franséische Politiker a fréiere Staatspresident,Q5,Mënsch,PER
Q2172,Lance Armstrong,amerikanesche Vëlossportler,Q5,Mënsch,PER
Q2185,Georges Pompidou,franséische Politiker,Q5,Mënsch,PER
Q2190,Coluche,"franséische Schauspiller, Dréibuchauteur a Filmregisseur",Q5,Mënsch,PER
Q2252,Buzz Aldrin,US-amerikaneschen Astronaut,Q5,Mënsch,PER
Q2263,Tom Hanks,"US-amerikanesche Schauspiller, Regisseur a Produzent",Q5,Mënsch,PER
Q2274,Chet Baker,"US-amerikaneschen Museker, Sänger a Komponist",Q5,Mënsch,PER
Q2291,Totò,italieenesche Schauspiller an Dichter,Q5,Mënsch,PER
Q2492,Konrad Adenauer,däitsche Politiker,Q5,Mënsch,PER
Q2494,Benoît XVI.,265. Poopst vun der kathoulescher Kierch,Q5,Mënsch,PER
Q2496,Ludwig Erhard,däitsche Politiker,Q5,Mënsch,PER
Q2512,Kurt Georg Kiesinger,däitsche Politiker,Q5,Mënsch,PER
Q2516,Helmut Schmidt,däitsche Politiker,Q5,Mënsch,PER
Q2518,Helmut Kohl,däitsche Politiker,Q5,Mënsch,PER
Q2530,Gerhard Schröder,däitsche Politiker,Q5,Mënsch,PER
Q2538,Joachim Gauck,däitsche Politiker,Q5,Mënsch,PER
Q2540,Christian Wulff,däitsche Politiker (CDU) a Bundespresident (2010-2012),Q5,Mënsch,PER
Q2551,Johannes Rau,däitsche Politiker,Q5,Mënsch,PER
Q2563,Roman Herzog,däitsche Jurist a Politiker,Q5,Mënsch,PER
Q2567,Richard von Weizsäcker,däitsche Politiker,Q5,Mënsch,PER
Q2569,Karl Carstens,däitsche Politiker,Q5,Mënsch,PER
Q2571,Walter Scheel,däitsche Politiker,Q5,Mënsch,PER
Q2573,Gustav Heinemann,däitsche Politiker a Bundespresident,Q5,Mënsch,PER
Q2582,Heinrich Lübke,däitsche Politiker,Q5,Mënsch,PER
Q2594,Theodor Heuss,däitsche Journalist a Politiker,Q5,Mënsch,PER
Q2599,Paul McCartney,"brittesche Sänger, Museker a Komponist",Q5,Mënsch,PER
Q2604,Pius XII.,260. Poopst,Q5,Mënsch,PER
Q2607,Erich Honecker,däitsche Politiker,Q5,Mënsch,PER
Q2646,Friedrich Ebert,däitsche Politiker,Q5,Mënsch,PER
Q2667,Paul von Hindenburg,däitsche Politiker,Q5,Mënsch,PER
Q2685,Arnold Schwarzenegger,amerikanesche Politiker,Q5,Mënsch,PER
Q2737,Louis de Funès,franséische Schauspiller a Komiker,Q5,Mënsch,PER
Q2750,Bourvil,franséische Schauspiller a Sänger,Q5,Mënsch,PER
Q2757,Lech Kaczyński,polnesche Politiker,Q5,Mënsch,PER
Q2808,Elton John,"englesche Sänger, Pianist, Komponist a Schauspiller",Q5,Mënsch,PER
Q2866,Aljaksandr Lukaschenka,belarussemesche Politiker,Q5,Mënsch,PER
Q2908,Antoine de Saint-Exupéry,franséische Pilot a Schrëftsteller,Q5,Mënsch,PER
Q3044,Karel de Groussen,"Kinnek vum fränkesche Räich, Keeser vum Hellege Réimesche Räich",Q5,Mënsch,PER
Q3090,Guy Teissier,franséische Politiker,Q5,Mënsch,PER
Q4337,Rodger Bumpass,amerikanesche Schauspiller,Q5,Mënsch,PER
Q4344,Arnaut Daniel,okzitaneschen Troubadour,Q5,Mënsch,PER
Q4413,Alpha Condé,guinäesche Politiker a Staatspresident,Q5,Mënsch,PER
Q4441,Emily Dickinson,US-amerikanesch Dichterin,Q5,Mënsch,PER
Q4457,Franz Beckenbauer,"däitsche Foussballspiller, -trainer a -fonctionnaire",Q5,Mënsch,PER
Q4465,Peter Jackson,neiséilännesche Filmregisseur,Q5,Mënsch,PER
Q4496,Mitt Romney,amerikanesche Politiker,Q5,Mënsch,PER
Q4509,Chloë Grace Moretz,amerikanesch Schauspillerin,Q5,Mënsch,PER
Q4538,Jonathan Winters,US-amerikanesche Schauspiller,Q5,Mënsch,PER
Q4547,Daniel Craig,brittesche Schauspiller,Q5,Mënsch,PER
Q4573,Sean Connery,schottesche Schauspiller,Q5,Mënsch,PER
Q4604,Konfuzius,chineesesche Philosoph,Q5,Mënsch,PER
Q4605,Sarah Bernhardt,franséisch Schauspillerin,Q5,Mënsch,PER
Q4612,Marlene Dietrich,däitsch-amerikanesch Schauspillerin a Sängerin,Q5,Mënsch,PER
Q4616,Marilyn Monroe,US-amerikanesch Schauspillerin,Q5,Mënsch,PER
Q4617,Corbin Bleu,"US-amerikanesche Schauspiller, Sänger a Filmproduzent",Q5,Mënsch,PER
Q4631,Mohammed Mursi,egyptesche Politiker,Q5,Mënsch,PER
Q4636,Barbra Streisand,US-amerikanesch Sängerin a Schauspillerin,Q5,Mënsch,PER
Q4673,Paul Otto,däitsche Schauspiller,Q5,Mënsch,PER
Q4700,Claude Debussy,franséische Komponist,Q5,Mënsch,PER
Q4724,Le Corbusier,Schwäizer Architekt,Q5,Mënsch,PER
Q3205,William Terry,amerikanesche Politiker,Q5,Mënsch,PER
Q3251,Elisha E. Meredith,amerikanesche Politiker,Q5,Mënsch,PER
Q3260,Hubert Clifford,brittesche Komponist,Q5,Mënsch,PER
Q3271,Todd Russell Platts,amerikanesche Politiker,Q5,Mënsch,PER
Q3301,Karl Martell,fränkeschen Hausmeier,Q5,Mënsch,PER
Q3335,George Orwell,brittesche Schrëftsteller,Q5,Mënsch,PER
Q3355,Amelia Earhart,US-amerikanesch Pilotin,Q5,Mënsch,PER
Q3374,Anne-Sophie Mutter,däitsch Violonistin,Q5,Mënsch,PER
Q3910,Albert II. vu Monaco,Prënz vu Monaco,Q5,Mënsch,PER
Q3911,Albert II. vun der Belsch,Kinnek vun de Belsch (1993-2013),Q5,Mënsch,PER
Q3924,Kevin Rudolf,amerikanesche Pop-Rocksänger,Q5,Mënsch,PER
Q3925,Grace Kelly,"monegassesch-US-amerikanesch Schauspillerin, Prinzessin vu Monaco",Q5,Mënsch,PER
Q3993,Jacqueline Cochran,amerikanesch Politikerin,Q5,Mënsch,PER
Q4028,Paul Simon,amerikanesche Museker,Q5,Mënsch,PER
Q4058,Kayla Ewell,amerikanesch Schauspillerin,Q5,Mënsch,PER
Q4212,Ned Beatty,US-amerikanesche Schauspille,Q5,Mënsch,PER
Q4223,Julian McMahon,australesche Schauspiller,Q5,Mënsch,PER
Q4227,James Coburn,US-amerikanesche Schauspiller,Q5,Mënsch,PER
Q4235,Miley Cyrus,amerikanesch Schauspillerin a Sängerin,Q5,Mënsch,PER
Q4826,Rosa Valetti,däitsch Schauspillerin (1876-1937),Q5,Mënsch,PER
Q4934,Larry Page,US-amerikaneschen Informatiker an Entreprener,Q5,Mënsch,PER
Q4985,Herman Melville,US-amerikanesche Schrëftsteller an Essayist,Q5,Mënsch,PER
Q5015,Mette Frederiksen,dänesch Politikerin a Ministerpresidentin,Q5,Mënsch,PER
Q5105,Céline Dion,kanadesch Popsängerin,Q5,Mënsch,PER
Q5152,Mustafa Kemal Atatürk,tierkesche Grënner vun der moderner Tierkei,Q5,Mënsch,PER
Q5284,Bill Gates,US-amerikanesche Manager a Programméierer,Q5,Mënsch,PER
Q5383,David Bowie,"brittesche Museker, Sänger, Schauspiller, Produzent a Moler",Q5,Mënsch,PER
Q5432,Francisco de Goya,spuenesche Moler a Graphiker,Q5,Mënsch,PER
Q5443,Greta Garbo,schweedesch Filmschauspillerin,Q5,Mënsch,PER
Q5582,Vincent van Gogh,hollännesche Moler,Q5,Mënsch,PER
Q5586,Katsushika Hokusai,japanesche Xylograph,Q5,Mënsch,PER
Q5588,Frida Kahlo,mexikanesch Molerin,Q5,Mënsch,PER
Q5589,Henri Matisse,franséische Moler a Sculpteur,Q5,Mënsch,PER
Q5592,Michelangelo,"italieenesche Sculpteur, Moler an Dichter",Q5,Mënsch,PER
Q5593,Pablo Picasso,"spuenesche Moler, Graphiker a Sculpteur (1881–1973)",Q5,Mënsch,PER
Q5598,Rembrandt van Rijn,hollännesche Moler,Q5,Mënsch,PER
Q5599,Peter Paul Rubens,flämesche Moler,Q5,Mënsch,PER
Q5603,Andy Warhol,US-amerikanesche Kënschtler,Q5,Mënsch,PER
Q5608,Eminem,US-amerikanesche Rapper,Q5,Mënsch,PER
Q5673,Hans Christian Andersen,Dichter a Schrëftsteller aus Dänemark,Q5,Mënsch,PER
Q5676,Matsuo Bashō,japaneschen Dichter,Q5,Mënsch,PER
Q5679,George Gordon Byron,englesche Poet,Q5,Mënsch,PER
Q5682,Miguel de Cervantes,spuenesche Schrëftsteller,Q5,Mënsch,PER
Q5683,Geoffrey Chaucer,englesche Schrëftsteller a Dichter,Q5,Mënsch,PER
Q5685,Anton Pawlowitsch Tschechow,russesche Schrëftsteller,Q5,Mënsch,PER
Q5686,Charles Dickens,englesche Schrëftsteller (1812–1870),Q5,Mënsch,PER
Q5738,Adolphe Thiers,franséische Politiker an Historiker,Q5,Mënsch,PER
Q5749,Pierre Joseph Proudhon,franséische Politiker,Q5,Mënsch,PER
Q5809,Che Guevara,"argentinesch-kubanesche kommunistesche Politiker, Revolutionär, Dokter an Auteur",Q5,Mënsch,PER
Q5812,Novak Djokovic,Tennisspiller,Q5,Mënsch,PER
Q5878,Gabriel García Márquez,kolumbianesche Journalist an Auteur,Q5,Mënsch,PER
Q5879,Johann Wolfgang von Goethe,"däitschen Dichter, Staatsmann an Naturwëssenschaftler (1749–1832)",Q5,Mënsch,PER
Q5912,Marcel Duchamp,franséisch-amerikanesche Moler an Kënschtler,Q5,Mënsch,PER
Q5921,Chuck Berry,"US-amerikanesche Gittarist, Sänger a Komponist",Q5,Mënsch,PER
Q5928,Jimi Hendrix,US-amerikanesche Gittarist a Sänger,Q5,Mënsch,PER
Q5977,Buddy Holly,US-amerikanesche Museker a Lidderschreiwer,Q5,Mënsch,PER
Q6060,50 Cent,US-amerikanesche Rapper,Q5,Mënsch,PER
Q6078,Dr. Dre,amerikanesche Rapper,Q5,Mënsch,PER
Q6101,Marco Polo,"venezianeschen, Händler an Entdecker",Q5,Mënsch,PER
Q6105,Hebe Camargo,brasilianesch Sängerin a Filmschauspillerin (1929-2012),Q5,Mënsch,PER
Q6107,Tupac Shakur,US-amerikanesche Rapmuseker,Q5,Mënsch,PER
Q6195,Juan Antonio Flecha,Spuenesche Vëlossportler,Q5,Mënsch,PER
Q6242,Marianne Vos,hollännesch Vëlossportlerin,Q5,Mënsch,PER
Q6294,Hillary Clinton,US-amerikanesch Politikerin,Q5,Mënsch,PER
Q6353,Gerhard Mercator,Geograph a Kartograph,Q5,Mënsch,PER
Q6512,Søren Kierkegaard,"dänesche Philosoph, Theolog a Schrëftsteller",Q5,Mënsch,PER
Q6527,Jean-Jacques Rousseau,franséisch-Schwäizer Schrëftsteller a Philosoph,Q5,Mënsch,PER
Q6530,Stanisław Lem,polnesche Philosoph,Q5,Mënsch,PER
Q6538,Günter Grass,"däitsche Schrëftsteller, Sculpteur, Moler a Graphiker",Q5,Mënsch,PER
Q6682,Gustave Doré,"franséischen Zeechner, Graveur, Sculpteur a Moler",Q5,Mënsch,PER
Q6694,Alexander von Humboldt,däitschen Naturfuerscher,Q5,Mënsch,PER
Q6722,Carl Friedrich Gauß,"däitsche Mathematiker, Astronom, Geodet a Physiker",Q5,Mënsch,PER
Q7013,Lena Meyer-Landrut,däitsch Popsängerin,Q5,Mënsch,PER
Q7085,Niels Henrik David Bohr,dänesche Physiker,Q5,Mënsch,PER
Q7091,Évariste Galois,franséische Mathematiker,Q5,Mënsch,PER
Q7103,Sophie Germain,franséisch Mathematikerin a Philosophin,Q5,Mënsch,PER
Q7122,Michel Audiard,"franséische Filmregisseur, Auteur, Journalist a Dréibuchauteur",Q5,Mënsch,PER
Q7177,Jean-Marie Le Pen,franséische Politiker,Q5,Mënsch,PER
Q7186,Marie Curie,polnesch-franséisch Cheemikerin a Physikerin,Q5,Mënsch,PER
Q7197,Simone de Beauvoir,"franséisch Schrëftstellerin, Philosophin a Feministin",Q5,Mënsch,PER
Q7207,Elizabeth I. vun England,Kinnigin vun England,Q5,Mënsch,PER
Q7226,Jeanne d'Arc,franséisch Nationalheldin an Helleg,Q5,Mënsch,PER
Q7231,Rosa Luxemburg,Vertriederin vun der europäescher Aarbechterbeweegung a vum proletareschen Internationalismus,Q5,Mënsch,PER
Q7241,Rabindranath Tagore,Bengaleschen Dichter a Philosoph,Q5,Mënsch,PER
Q7243,Leo Tolstoi,"russesche Schrëftsteller, Enseignant a Philosoph",Q5,Mënsch,PER
Q7294,Johannes Brahms,däitsche Komponist,Q5,Mënsch,PER
Q7298,Antonín Dvořák,tschechesche Komponist,Q5,Mënsch,PER
Q7302,Georg Friedrich Händel,däitsch-brittesche Komponist,Q5,Mënsch,PER
Q7304,Gustav Mahler,éisträicheschen Dirigent a Komponist,Q5,Mënsch,PER
Q7311,Giacomo Puccini,italieenesche Komponist,Q5,Mënsch,PER
Q7312,Franz Schubert,éisträichesche Komponist,Q5,Mënsch,PER
Q7314,Igor Strawinsky,russesche Komponist,Q5,Mënsch,PER
Q7317,Giuseppe Verdi,italieenesche Komponist,Q5,Mënsch,PER
Q7322,Christoph Kolumbus,Séifuerer a Kartograph vu Genua,Q5,Mënsch,PER
Q7324,James Cook,britteschen Entdecker,Q5,Mënsch,PER
Q7328,Vasco da Gama,portugisesche Séifuerer,Q5,Mënsch,PER
Q7331,Ibn Battūta,muslimeschen Entdecker,Q5,Mënsch,PER
Q7333,Zheng He,chineeseschen Admirol an Entdecker,Q5,Mënsch,PER
Q7345,Dan Brown,US-amerikanesche Schrëftsteller,Q5,Mënsch,PER
Q7351,Robert Schumann,däitsche Komponist,Q5,Mënsch,PER
Q7371,Federico Fellini,italieenesche Filmregisseur,Q5,Mënsch,PER
Q7374,Alfred Hitchcock,US-amerikanesche Filmregisseur a Filmproduzent (1899–1980),Q5,Mënsch,PER
Q7416,Margaret Thatcher,brittesch Politikerin a Cheemikerin,Q5,Mënsch,PER
Q7474,Rosalind Franklin,brittesch Cheemikerin,Q5,Mënsch,PER
Q7504,Irène Joliot-Curie,franséisch Wëssenschaftlerin,Q5,Mënsch,PER
Q7508,Ann A. Kiessling,amerikanesch Biologin,Q5,Mënsch,PER
Q7523,Kublai Khan,mongoleschen Herscher,Q5,Mënsch,PER
Q7542,Prince,US-amerikanesche Sänger,Q5,Mënsch,PER
Q7546,Ingmar Bergman,schweedeschen Regisseur an Dréibuchauteur,Q5,Mënsch,PER
Q7604,Leonhard Euler,Schwäizer Mathematiker a Physiker,Q5,Mënsch,PER
Q7711,Jean-Marc Ayrault,franséische Politiker,Q5,Mënsch,PER
Q7721,Napoléon III. vu Frankräich,franséische Politiker (1808–1873),Q5,Mënsch,PER
Q7726,Joseph Bonaparte,franséische Politiker,Q5,Mënsch,PER
Q7732,Louis XVI. vu Frankräich,Kinnek vu Frankräich an Navarra,Q5,Mënsch,PER
Q7738,Louis XV. vu Frankräich,Kinnek vu Frankräich,Q5,Mënsch,PER
Q7742,Louis XIV. vu Frankräich,franséische Kinnek,Q5,Mënsch,PER
Q7747,Wladimir Putin,russesche Politiker,Q5,Mënsch,PER
Q7750,Louis XVIII. vu Frankräich,Kinnek vu Frankräich an Navarra (1815-1824),Q5,Mënsch,PER
Q7758,Charles X. vu Frankräich,Kinnek vu Frankräich an Navarra (1824-1830),Q5,Mënsch,PER
Q7771,Louis-Philippe I. vu Frankräich,Kinnek vu Frankräich (1830-1848),Q5,Mënsch,PER
Q7836,René Magritte,belsche Moler,Q5,Mënsch,PER
Q7996,Iwan IV. vu Russland,Zar vu Russland,Q5,Mënsch,PER
Q8003,Sergei Michailowitsch Eisenstein,sowjetesche Regisseur,Q5,Mënsch,PER
Q8007,Franklin D. Roosevelt,US-amerikanesche Politiker,Q5,Mënsch,PER
Q8016,Winston Churchill,brittesche Staatsmann,Q5,Mënsch,PER
Q8018,Aurelius Augustinus,"chrëschtlechen Hellegen, Theolog a Bëschof",Q5,Mënsch,PER
Q8023,Nelson Mandela,"südafrikanesche Biergerrechtler, Politiker a President",Q5,Mënsch,PER
Q8053,Jules Hardouin-Mansart,franséischen Architekt,Q5,Mënsch,PER
Q8159,Paul Bocuse,"franséische Kach, Gastronom an Auteur vu Kachbicher",Q5,Mënsch,PER
Q8298,David Guetta,franséische Museksproduzent an DJ,Q5,Mënsch,PER
Q8349,Weird Al Yankovic,US-amerikanesche Stand-Up-Komiker a Schauspiller,Q5,Mënsch,PER
Q8413,Konstantin de Groussen,réimesche Keeser,Q5,Mënsch,PER
Q8440,Hugo Chávez,"venezuelaneschen Offizéier, Politiker a Staatspresident vu Venezuela (1998-2013)",Q5,Mënsch,PER
Q8442,Otto von Bismarck,däitsche Politiker,Q5,Mënsch,PER
Q8479,Péiter de Groussen,russeschen Zar,Q5,Mënsch,PER
Q8612,Andrew Johnson,US-amerikanesche Politiker,Q5,Mënsch,PER
Q8619,Pierre Trudeau,kanadesche Premierminister,Q5,Mënsch,PER
